"url","PDFs","Videos"
"https://tonypolecastro.com/lessons/fretting-hand-toolbox-hammer-ons/","https://tonypolecastro.com/wp-content/uploads/2015/01/Fretting-Hand-Toolbox-Ex.-1.1.pdf; https://tonypolecastro.com/wp-content/uploads/2015/01/Fretting-Hand-Toolbox-Ex.-1.2.pdf","<iframe src=""https://player.vimeo.com/video/213722889"" frameborder=""0"" title=""FHT Lesson 1 INTRO"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid513016""></iframe>; <iframe src=""https://player.vimeo.com/video/213723745?loop=1"" frameborder=""0"" title=""FHT Lesson 1 PART1 Explain"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid222676""></iframe>; <iframe src=""https://player.vimeo.com/video/213723874?loop=1"" frameborder=""0"" title=""FHT Lesson 1 PART1 SLOW"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid571750""></iframe>; <iframe src=""https://player.vimeo.com/video/213724176?loop=1"" frameborder=""0"" title=""FHT Lesson 1 PART1 MEDIUM"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid232911""></iframe>; <iframe src=""https://player.vimeo.com/video/213724142?loop=1"" frameborder=""0"" title=""FHT Lesson 1 PART1 FAST"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid566255""></iframe>; <iframe src=""https://player.vimeo.com/video/213724263?loop=1"" frameborder=""0"" title=""FHT Lesson 1 PART2 INTRO"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid216368""></iframe>; <iframe src=""https://player.vimeo.com/video/213724484?loop=1"" frameborder=""0"" title=""FHT Lesson 1 PART2 SLOW"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid632385""></iframe>; <iframe src=""https://player.vimeo.com/video/213724449?loop=1"" frameborder=""0"" title=""FHT Lesson 1 PART2 MEDIUM"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid50999""></iframe>; <iframe src=""https://player.vimeo.com/video/213724227?loop=1"" frameborder=""0"" title=""FHT Lesson 1 PART2 FAST"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid492631""></iframe>"
"https://tonypolecastro.com/lessons/fretting-hand-toolbox-pull-offs/","https://tonypolecastro.com/wp-content/uploads/2015/01/Fretting-Hand-Toolbox-Ex.-2.1.pdf; https://tonypolecastro.com/wp-content/uploads/2015/01/Fretting-Hand-Toolbox-Ex.-2.2.pdf","<iframe src=""https://player.vimeo.com/video/214064763"" frameborder=""0"" title=""FHT Lesson 2 INTRO"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid744633""></iframe>; <iframe src=""https://player.vimeo.com/video/214065411?loop=1"" frameborder=""0"" title=""FHT Lesson 2 PART1 Explain"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid433580""></iframe>; <iframe src=""https://player.vimeo.com/video/214065647?loop=1"" frameborder=""0"" title=""FHT Lesson 2 PART1 SLOW"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid477947""></iframe>; <iframe src=""https://player.vimeo.com/video/214065604?loop=1"" frameborder=""0"" title=""FHT Lesson 2 PART1 MEDIUM"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid59787""></iframe>; <iframe src=""https://player.vimeo.com/video/214065562?loop=1"" frameborder=""0"" title=""FHT Lesson 2 PART1 FAST"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid926887""></iframe>; <iframe src=""https://player.vimeo.com/video/214065735?loop=1"" frameborder=""0"" title=""FHT Lesson 2 PART2 INTRO"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid584330""></iframe>; <iframe src=""https://player.vimeo.com/video/214065962?loop=1"" frameborder=""0"" title=""FHT Lesson 2 PART2 SLOW"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid845653""></iframe>; <iframe src=""https://player.vimeo.com/video/214065930?loop=1"" frameborder=""0"" title=""FHT Lesson 2 PART2 MEDIUM"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid217517""></iframe>; <iframe src=""https://player.vimeo.com/video/214065708?loop=1"" frameborder=""0"" title=""FHT Lesson 2 PART2 FAST"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid464545""></iframe>"
"https://tonypolecastro.com/lessons/fretting-hand-toolbox-slides/","https://tonypolecastro.com/wp-content/uploads/2015/01/Fretting-Hand-Toolbox-Ex.-3.1.pdf; https://tonypolecastro.com/wp-content/uploads/2015/01/Fretting-Hand-Toolbox-Ex.-3.2.pdf","<iframe src=""https://player.vimeo.com/video/214066215"" frameborder=""0"" title=""FHT Lesson 3 INTRO"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid677938""></iframe>; <iframe src=""https://player.vimeo.com/video/214066783?loop=1"" frameborder=""0"" title=""FHT Lesson 3 PART1 Explain"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid110494""></iframe>; <iframe src=""https://player.vimeo.com/video/214066964?loop=1"" frameborder=""0"" title=""FHT Lesson 3 PART1 SLOW"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid544594""></iframe>; <iframe src=""https://player.vimeo.com/video/214066926?loop=1"" frameborder=""0"" title=""FHT Lesson 3 PART1 MEDIUM"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid729181""></iframe>; <iframe src=""https://player.vimeo.com/video/214066906?loop=1"" frameborder=""0"" title=""FHT Lesson 3 PART1 FAST"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid480311""></iframe>; <iframe src=""https://player.vimeo.com/video/214067053?loop=1"" frameborder=""0"" title=""FHT Lesson 3 PART2 INTRO"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid102595""></iframe>; <iframe src=""https://player.vimeo.com/video/214067226?loop=1"" frameborder=""0"" title=""FHT Lesson 3 PART2 SLOW"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid199659""></iframe>; <iframe src=""https://player.vimeo.com/video/214067175?loop=1"" frameborder=""0"" title=""FHT Lesson 3 PART2 MEDIUM"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid457084""></iframe>; <iframe src=""https://player.vimeo.com/video/214067018?loop=1"" frameborder=""0"" title=""FHT Lesson 3 PART2 FAST"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid811733""></iframe>"
"https://tonypolecastro.com/lessons/fretting-hand-toolbox-bends/","https://tonypolecastro.com/wp-content/uploads/2015/01/Fretting-Hand-Toolbox-Ex.-4.1-.pdf; https://tonypolecastro.com/wp-content/uploads/2015/01/Fretting-Hand-Toolbox-Ex.-4.2.pdf","<iframe src=""https://player.vimeo.com/video/214069262"" frameborder=""0"" title=""FHT Lesson 4 INTRO"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid185061""></iframe>; <iframe src=""https://player.vimeo.com/video/214069851?loop=1"" frameborder=""0"" title=""FHT Lesson 4 PART1 Explain"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid831458""></iframe>; <iframe src=""https://player.vimeo.com/video/214070108?loop=1"" frameborder=""0"" title=""FHT Lesson 4 PART1 SLOW"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid828362""></iframe>; <iframe src=""https://player.vimeo.com/video/214070060?loop=1"" frameborder=""0"" title=""FHT Lesson 4 PART1 MEDIUM"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid774238""></iframe>; <iframe src=""https://player.vimeo.com/video/214070026?loop=1"" frameborder=""0"" title=""FHT Lesson 4 PART1 FAST"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid362295""></iframe>; <iframe src=""https://player.vimeo.com/video/214070188?loop=1"" frameborder=""0"" title=""FHT Lesson 4 PART2 INTRO"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid935974""></iframe>; <iframe src=""https://player.vimeo.com/video/214070449?loop=1"" frameborder=""0"" title=""FHT Lesson 4 PART2 SLOW"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid823110""></iframe>; <iframe src=""https://player.vimeo.com/video/214070423?loop=1"" frameborder=""0"" title=""FHT Lesson 4 PART2 MEDIUM"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid38324""></iframe>; <iframe src=""https://player.vimeo.com/video/214070156?loop=1"" frameborder=""0"" title=""FHT Lesson 4 PART2 FAST"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid781958""></iframe>"
"https://tonypolecastro.com/lessons/fretting-hand-toolbox-harmonics/","https://tonypolecastro.com/wp-content/uploads/2015/01/Fretting-Hand-Toolbox-Ex.-5.1.pdf; https://tonypolecastro.com/wp-content/uploads/2015/01/Fretting-Hand-Toolbox-Ex.-5.2.pdf","<iframe src=""https://player.vimeo.com/video/214070536"" frameborder=""0"" title=""FHT Lesson 5 INTRO"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid280534""></iframe>; <iframe src=""https://player.vimeo.com/video/214071584?loop=1"" frameborder=""0"" title=""FHT Lesson 5 PART1 Explain"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid636333""></iframe>; <iframe src=""https://player.vimeo.com/video/214071788?loop=1"" frameborder=""0"" title=""FHT Lesson 5 PART1 SLOW"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid746110""></iframe>; <iframe src=""https://player.vimeo.com/video/214071729?loop=1"" frameborder=""0"" title=""FHT Lesson 5 PART1 MEDIUM"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid607555""></iframe>; <iframe src=""https://player.vimeo.com/video/214071681?loop=1"" frameborder=""0"" title=""FHT Lesson 5 PART1 FAST"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid232682""></iframe>; <iframe src=""https://player.vimeo.com/video/214071904?loop=1"" frameborder=""0"" title=""FHT Lesson 5 PART2 INTRO"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid585611""></iframe>; <iframe src=""https://player.vimeo.com/video/214072131?loop=1"" frameborder=""0"" title=""FHT Lesson 5 PART2 SLOW"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid944409""></iframe>; <iframe src=""https://player.vimeo.com/video/214072086?loop=1"" frameborder=""0"" title=""FHT Lesson 5 PART2 MEDIUM"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid183257""></iframe>; <iframe src=""https://player.vimeo.com/video/214071863?loop=1"" frameborder=""0"" title=""FHT Lesson 5 PART2 FAST"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid731045""></iframe>"
"https://tonypolecastro.com/lessons/fretting-hand-toolbox-congratulations/","","<iframe src=""https://player.vimeo.com/video/213769174"" frameborder=""0"" title=""FHT CONGRATS"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid603864""></iframe>"
"https://tonypolecastro.com/lessons/live-qa/","","<iframe src=""https://www.youtube.com/embed/FM46xZk4VoQ?feature=oembed"" frameborder=""0"" allowfullscreen="""" id=""fitvid337390""></iframe>"
"https://tonypolecastro.com/lessons/pete-huttlinger/","","<iframe src=""https://player.vimeo.com/video/204587769"" frameborder=""0"" title=""Pete Huttlinger &amp; Tony Polecastro (Interview &amp; Performance)"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid807789""></iframe>"
"https://tonypolecastro.com/lessons/tommy-emmanuel-maton-soundchecks-guitar-wisdom/","","<iframe src=""https://player.vimeo.com/video/204603627"" frameborder=""0"" title=""Tommy Emmanuel Spills the Beans to Tony Polecastro!"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid368121""></iframe>"
"https://tonypolecastro.com/lessons/ren-ferguson-lost-story-leaving-gibson/","","<iframe src=""https://player.vimeo.com/video/204615655"" frameborder=""0"" title=""Ren Ferguson - Ex Gibson, now Guild"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""" id=""fitvid170853""></iframe>"
