url,Tab_link,Video_link
https://tonypolecastro.com/lessons/high-school-prom-flp/,https://tonypolecastro.com/wp-content/uploads/2016/10/High-School-Prom.pdf,https://player.vimeo.com/external/187067615.hd.mp4?s=bc39e16ba66883b95c93c2cb7729a84b6fb81e6f&profile_id=174&download=1
https://tonypolecastro.com/lessons/hrothgar-a-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Hrothgar.pdf,https://player.vimeo.com/external/198991358.hd.mp4?s=007c76145e4c19a34f94b580d1fde41b097c2241&profile_id=174&download=1
https://tonypolecastro.com/lessons/hulkamania-c-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Hulkamania.pdf,https://player.vimeo.com/external/188071369.hd.mp4?s=cab7d291e59c5c07d3e834bc0679e683a362b6c5&profile_id=174&download=1
https://tonypolecastro.com/lessons/jack-skellington-gm-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Jack-Skellington.pdf,https://player.vimeo.com/external/198772462.hd.mp4?s=d58556b74f8e87054e3aa76c7209a7f9dab8517b&profile_id=174&download=1
https://tonypolecastro.com/lessons/mashed-potatos-e-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Mashed-Potatoes.pdf,https://player.vimeo.com/external/188730112.hd.mp4?s=5557f747a089d5b54e24ebfcfa25e2cb2d914972&profile_id=174&download=1
https://tonypolecastro.com/lessons/multi-tool-g-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Multi-Tool.pdf,https://player.vimeo.com/external/180348537.hd.mp4?s=0a749e3ae7f1ae0b683a49de2df1162737e1cd1e&profile_id=174&download=1
https://tonypolecastro.com/lessons/pledge-power-d-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Pledge-Power.pdf,https://player.vimeo.com/external/198767794.hd.mp4?s=af30d6aee09d306a1f903eac2a0f83ddd92a62a3&profile_id=174&download=1
https://tonypolecastro.com/lessons/real-american-hero-d-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Real-American-Hero.pdf,https://player.vimeo.com/external/190342983.hd.mp4?s=c7a1fe67115b03b7ba43fd7d6369a0aeba16ff74&profile_id=174&download=1
https://tonypolecastro.com/lessons/ricki-lake-c-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Ricki-Lake.pdf,https://player.vimeo.com/external/198967801.hd.mp4?s=7aeb2e2cec1d2558db15245a10148a070bfdd9e3&profile_id=174&download=1
https://tonypolecastro.com/lessons/roller-skating-rink-g-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Roller-Skating-Rink.pdf,https://player.vimeo.com/external/170875697.hd.mp4?s=fe241996f79c4d872e828593e9642e3a066da33d&profile_id=174&download=1
https://tonypolecastro.com/lessons/shuttle-run-c-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Shuttle-Run-1.pdf,https://player.vimeo.com/external/184897694.hd.mp4?s=fa83da029381b3546736df67a6d3278c4b110171&profile_id=174&download=1
https://tonypolecastro.com/lessons/slapshot-g-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Slapshot.pdf,https://player.vimeo.com/external/188071385.hd.mp4?s=624940eb1e04c26254d729c7a9cf6bce1c590d08&profile_id=174&download=1
https://tonypolecastro.com/lessons/special-swamp-sauce-e-fp/,https://tonypolecastro.com/wp-content/uploads/2016/07/Special-Swamp-Sauce.pdf,https://player.vimeo.com/external/174446899.hd.mp4?s=b53288b2b558ad4745e5d641006221e2cf1f9c3e&profile_id=174&download=1
https://tonypolecastro.com/lessons/sweet-spot-g-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Sweet-Spot.pdf,https://player.vimeo.com/external/170847041.hd.mp4?s=4193bf2d4cc53926051390aeeff6e789c74162ea&profile_id=174&download=1
https://tonypolecastro.com/lessons/synchronized-success-c-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Synchornized-Success.pdf,https://player.vimeo.com/external/170859356.hd.mp4?s=43462eede74b896c5e008ac61b48acf5a726bf9c&profile_id=174&download=1
https://tonypolecastro.com/lessons/suzanne-somers-e-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/The-Suzanne-Somers-1.pdf,https://player.vimeo.com/external/182586256.hd.mp4?s=3170a9baa1abc885a95a40808e912f5f3d77fb1b&profile_id=174&download=1
https://tonypolecastro.com/lessons/thumpty-dumpty-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Thumpty-Dumpty.pdf,https://player.vimeo.com/external/188071404.hd.mp4?s=8e5b89963e73c159554db9bd3e07f4e38f35db13&profile_id=174&download=1
https://tonypolecastro.com/lessons/thunderlips-d-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Thunderlips.pdf,https://player.vimeo.com/external/198793379.hd.mp4?s=77b34ea8422003bb9f9e6da09a1c4f81e504f476&profile_id=174&download=1
https://tonypolecastro.com/lessons/tin-man-dm-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Tin-Man.pdf,https://player.vimeo.com/external/198790735.hd.mp4?s=644ff893f578a776b0db91db1c96b6e69541c42f&profile_id=174&download=1
https://tonypolecastro.com/lessons/trampoline-accident-d-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Trampoline-Accident.pdf,https://player.vimeo.com/external/188730127.hd.mp4?s=e94445a1a0c0ef63115cdb0b78bfc00f5769d480&profile_id=174&download=1
https://tonypolecastro.com/lessons/tribute-mr-rice-d-flp/,https://tonypolecastro.com/wp-content/uploads/2016/10/Tribute-to-Mr.-Rice.pdf,https://player.vimeo.com/external/187067638.hd.mp4?s=c661b609dc737d32f382902054e63d6ceabe31b1&profile_id=174&download=1
https://tonypolecastro.com/lessons/uncle-buck-dm-fp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Uncle-Buck.pdf,https://player.vimeo.com/external/198930032.hd.mp4?s=090b1b39c6102e82fb8ff7321ec2a09a2c568419&profile_id=174&download=1
https://tonypolecastro.com/lessons/wedgie-b-flp/,https://tonypolecastro.com/wp-content/uploads/2015/01/Wedgie.pdf,https://player.vimeo.com/external/198788397.hd.mp4?s=6128fbf2555522eb5a25e5177c1597057a7598b1&profile_id=174&download=1
https://tonypolecastro.com/lessons/weeble-wobbles-g-flp/,https://tonypolecastro.com/wp-content/uploads/2017/03/Weeble-Wobbles.pdf,https://player.vimeo.com/external/198964672.hd.mp4?s=f25e32f63169583d196f03c23e07f33338bc0b8a&profile_id=174&download=1
